Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Normal	0	0	271	1	1	3	150	merc01	merc41	100	100	45	8	15	6	35	10	45	16	10	10		1	3	2	0	8	bow		farw	75	Inner Sight	4	10	0	1	10	Fire Arrow	4	25	8	1	10																									2	1	2	0
Rogue Scout	Fire - Normal	0	0	271	1	1	25	150	merc01	merc41	100	100	221	13	147	12	63	10	89	16	230	20	1	7	9	4	44	7	bow		farw	75	Inner Sight	4	10	0	8	10	Fire Arrow	4	69	0	8	10																									2	1	2	0
Rogue Scout	Fire - Normal	0	0	271	1	1	49	150	merc01	merc41	100	100	533	25	435	18	93	10	137	16	710	30	2	19	21	6	86	5	bow		farw	75	Inner Sight	4	10	0	16	10	Fire Arrow	4	69	0	16	10																									2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	3	150	merc01	merc41	150	105	45	8	15	6	35	10	45	16	10	10		1	3	2	0	8	bow		carw	75	Inner Sight	4	10	0	1	10	Cold Arrow	4	25	2	1	10																									2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	25	150	merc01	merc41	150	105	221	12	147	12	63	10	89	16	230	20	1	7	9	4	44	7	bow		carw	75	Inner Sight	4	10	0	8	10	Cold Arrow	4	36	0	8	10																									2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	49	150	merc01	merc41	150	105	509	16	435	18	93	10	137	16	710	30	2	19	21	6	86	5	bow		carw	75	Inner Sight	4	10	0	16	10	Cold Arrow	4	36	0	16	10																									2	1	2	0
Rogue Scout	Fire - Nightmare	0	2	271	1	2	25	150	merc01	merc41	6000	110	199	12	132	12	60	10	84	16	207	20	1	6	8	4	41	7	bow		farw	75	Inner Sight	4	10	0	7	10	Fire Arrow	4	69	0	7	10																									2	1	2	0
Rogue Scout	Fire - Nightmare	0	2	271	1	2	49	150	merc01	merc41	6000	110	487	16	420	18	90	10	132	16	687	30	2	18	20	6	83	5	bow		farw	75	Inner Sight	4	10	0	15	10	Fire Arrow	4	69	0	15	10																									2	1	2	0
Rogue Scout	Ice - Nightmare	0	3	271	1	2	25	150	merc01	merc41	7500	115	199	12	132	12	60	10	84	16	207	20	1	6	8	4	41	7	bow		carw	75	Inner Sight	4	10	0	7	10	Cold Arrow	4	69	0	7	10																									2	1	2	0
Rogue Scout	Ice - Nightmare	0	3	271	1	2	49	150	merc01	merc41	7500	115	487	16	420	18	90	10	132	16	687	30	2	18	20	6	83	5	bow		carw	75	Inner Sight	4	10	0	15	10	Cold Arrow	4	69	0	15	10																									2	1	2	0
Rogue Scout	Fire - Hell	0	4	271	1	3	49	150	merc01	merc41	12500	120	438	16	378	18	87	10	127	16	618	30	2	17	19	6	80	5	bow		farw	75	Inner Sight	4	10	0	14	10	Fire Arrow	4	69	0	14	10																									2	1	2	0
Rogue Scout	Ice - Hell	0	5	271	1	3	49	150	merc01	merc41	14000	125	438	16	378	18	87	10	127	16	618	30	2	17	19	6	80	5	bow		carw	75	Inner Sight	4	10	0	14	10	Cold Arrow	4	69	0	14	10																									2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	3	150	merc01	merc41	750	100	45	9	15	8	35	10	45	16	10	12		1	3	2	0	8	bow		farw	75	Inner Sight	4	10	0	1	2	Fire Arrow	4	50	0	1	4																									2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	36	150	merc01	merc41	8000	100	342	18	279	15	77	10	111	16	406	24	1	9	11	4	66	7	bow		farw	75	Inner Sight	4	10	0	9	4	Fire Arrow	4	50	0	17	4	Exploding Arrow	4	30	0	1	4																			2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	67	150	merc01	merc41	20000	100	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		farw	75	Inner Sight	4	10	0	24	6	Fire Arrow	4	50	0	32	8	Exploding Arrow	4	40	0	16	6	Immolation Arrow	4	20	0	5	4													2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	3	150	merc01	merc41	1000	105	45	9	15	8	35	10	45	16	10	12		1	3	2	0	8	bow		carw	75	Inner Sight	4	10	0	1	2	Cold Arrow	4	50	5	1	4																									2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	36	150	merc01	merc41	10000	105	342	18	279	15	77	10	111	16	406	24	1	9	11	4	66	7	bow		carw	75	Inner Sight	4	10	0	9	4	Cold Arrow	4	50	0	17	4	Ice Arrow	4	30	0	1	4																			2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	67	150	merc01	merc41	25000	105	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		carw	75	Inner Sight	4	10	0	24	6	Cold Arrow	4	50	0	32	8	Ice Arrow	4	40	0	16	6	Freezing Arrow	4	20	0	5	4													2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	36	150	merc01	merc41	9000	115	308	18	251	15	74	10	106	16	365	24	1	8	10	4	63	7	bow		farw	65	Inner Sight	4	10	0	11	6	Fire Arrow	4	60	0	22	6	Exploding Arrow	4	30	0	5	6																			2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	67	150	merc01	merc41	25000	115	866	30	716	22	113	10	168	16	1109	36	2	24	26	6	118	5	bow		farw	50	Inner Sight	4	10	0	35	8	Fire Arrow	4	50	0	45	8	Exploding Arrow	4	40	0	30	8	Immolation Arrow	4	20	0	10	8													2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	36	150	merc01	merc41	12000	125	308	18	251	15	74	10	106	16	365	24	1	8	10	4	63	7	bow		carw	65	Inner Sight	4	10	0	11	6	Cold Arrow	4	60	0	22	6	Ice Arrow	4	30	0	5	6																			2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	67	150	merc01	merc41	30000	125	866	30	716	22	113	10	168	16	1109	36	2	24	26	6	118	8	bow		carw	50	Inner Sight	4	10	0	35	8	Cold Arrow	4	50	0	45	8	Ice Arrow	4	40	0	30	8	Freezing Arrow	4	20	0	10	8													2	1	2	0
Rogue Scout	Fire - Hell	100	4	271	1	3	67	150	merc01	merc41	30000	135	779	30	644	22	110	10	163	16	998	36	2	23	25	6	115	5	bow		farw	35	Inner Sight	4	10	0	40	8	Fire Arrow	4	50	0	50	12	Exploding Arrow	4	30	0	40	12	Immolation Arrow	4	20	0	20	12													2	1	2	0
Rogue Scout	Ice - Hell	100	5	271	1	3	67	150	merc01	merc41	35000	150	779	30	644	22	110	10	163	16	998	36	2	23	25	6	115	5	bow		carw	35	Inner Sight	4	10	0	40	8	Cold Arrow	4	50	0	50	12	Ice Arrow	4	30	0	40	12	Freezing Arrow	4	20	0	20	12													2	1	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	9	198	merca201	merca221	500	110	120	10	45	9	57	14	40	12	20	10	1	7	14	4	18	8	pole	spea	comb	30	Jab	14	70	4	3	10	Prayer	1	10	0	3	10																									2	2	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	31	198	merca201	merca221	900	110	340	20	243	16	96	14	73	12	240	20	3	18	25	6	62	7	pole	spea	comb	30	Jab	14	92	4	10	10	Prayer	1	10	0	10	10																									2	2	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	55	198	merca201	merca221	1200	110	820	35	627	24	138	14	109	12	720	30	4	36	43	8	104	4	pole	spea	comb	30	Jab	14	116	4	18	10	Prayer	1	10	0	18	0																									2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	9	198	merca201	merca221	600	110	120	10	45	9	57	14	40	12	20	10	1	7	14	4	18	8	pole	spea	def	30	Jab	14	70	4	3	10	Defiance	1	10	0	3	10																									2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	31	198	merca201	merca221	1000	110	340	20	243	16	96	14	73	12	240	20	3	18	25	6	62	7	pole	spea	def	30	Jab	14	92	4	10	10	Defiance	1	10	0	10	10																									2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	55	198	merca201	merca221	1500	110	820	35	627	24	138	14	109	12	720	30	4	36	43	8	104	4	pole	spea	def	30	Jab	14	116	4	18	0	Defiance	1	10	0	18	0																									2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	9	198	merca201	merca221	500	110	120	10	45	9	57	14	40	12	20	10	1	7	14	4	18	8	pole	spea	off	30	Jab	14	70	4	3	10	Blessed Aim	1	10	0	3	10																									2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	31	198	merca201	merca221	900	110	340	20	243	16	96	14	73	12	240	20	3	18	25	6	62	7	pole	spea	off	30	Jab	14	92	4	10	10	Blessed Aim	1	10	0	10	10																									2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	55	198	merca201	merca221	1200	110	820	35	627	24	138	14	109	12	720	30	4	36	43	8	104	4	pole	spea	off	30	Jab	14	116	4	18	0	Blessed Aim	1	10	0	18	0																									2	2	2	0
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	31	198	merca201	merca221	9000	120	306	20	219	16	92	14	69	12	216	20	3	16	23	6	59	7	pole	spea	comb	30	Jab	14	120	4	9	10	Thorns	1	10	0	5	10																									2	2	2	0
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	55	198	merca201	merca221	15000	120	786	35	603	24	134	14	105	12	696	30	4	34	41	8	101	4	pole	spea	comb	30	Jab	14	144	4	17	10	Thorns	1	10	0	13	0																									2	2	2	0
Desert Mercenary	Def-Nightmare	0	10	338	2	2	31	198	merca201	merca221	12000	120	306	20	219	16	92	14	69	12	216	20	3	16	23	6	59	7	pole	spea	def	30	Jab	14	120	4	9	10	Holy Freeze	1	10	0	6	10																									2	2	2	0
Desert Mercenary	Def-Nightmare	0	10	338	2	2	55	198	merca201	merca221	18000	120	786	35	603	24	134	14	105	12	696	30	4	34	41	8	101	4	pole	spea	def	30	Jab	14	144	4	17	0	Holy Freeze	1	10	0	14	0																									2	2	2	0
Desert Mercenary	Off-Nightmare	0	11	338	2	2	31	198	merca201	merca221	12000	120	306	20	219	16	92	14	69	12	216	20	3	16	23	6	59	7	pole	spea	off	30	Jab	14	120	4	9	10	Might	1	10	0	7	8																									2	2	2	0
Desert Mercenary	Off-Nightmare	0	11	338	2	2	55	198	merca201	merca221	15000	120	786	35	603	24	134	14	105	12	696	30	4	34	41	8	101	4	pole	spea	off	30	Jab	14	144	4	17	0	Might	1	10	0	13	8																									2	2	2	0
Desert Mercenary	Comb-Hell	0	12	338	2	3	55	198	merca201	merca221	25000	130	707	35	543	24	130	14	101	12	626	30	4	32	39	8	98	4	pole	spea	comb	30	Jab	14	104	4	16	10	Prayer	1	10	0	16	0																									2	2	2	0
Desert Mercenary	Def-Hell	0	13	338	2	3	55	198	merca201	merca221	25000	130	707	35	543	24	130	14	101	12	626	30	4	32	39	8	98	4	pole	spea	def	30	Jab	14	104	4	16	0	Defiance	1	10	0	16	0																									2	2	2	0
Desert Mercenary	Off-Hell	0	14	338	2	3	55	198	merca201	merca221	25000	130	707	35	543	24	130	14	101	12	626	30	4	32	39	8	98	4	pole	spea	off	30	Jab	14	104	4	16	0	Blessed Aim	1	10	0	16	0																									2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	9	198	merca201	merca221	1500	125	120	15	45	11	57	14	40	12	20	12	1	7	14	4	18	8	pole	spea	comb	30	Vengeance	4	50	0	6	2	Prayer	1	10	0	5	2																									2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	43	198	merca201	merca221	15000	125	630	25	419	19	117	14	91	12	428	24	3	24	31	6	86	7	pole	spea	comb	30	Vengeance	4	75	0	15	4	Prayer	1	10	0	15	4																									2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	75	198	merca201	merca221	35000	125	1430	40	1027	28	173	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	comb	30	Vengeance	4	100	0	35	6	Prayer	1	10	0	35	8																									2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	9	198	merca201	merca221	1250	125	120	15	45	11	57	14	40	12	20	12	1	7	14	4	18	8	pole	spea	def	30	Jab	14	50	5	3	4	Defiance	1	10	0	5	2																									2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	43	198	merca201	merca221	12500	125	630	25	419	19	117	14	91	12	428	24	3	24	31	6	86	7	pole	spea	def	30	Jab	14	75	8	20	6	Defiance	1	10	0	15	4																									2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	75	198	merca201	merca221	32000	125	1430	40	1027	28	173	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	def	30	Jab	14	100	10	45	8	Defiance	1	10	0	35	8																									2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	9	198	merca201	merca221	1100	125	120	15	45	11	57	14	40	12	20	12	1	7	14	4	18	8	pole	spea	off	30	Jab	14	50	5	3	6	Might	1	10	0	5	2																									2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	43	198	merca201	merca221	10000	125	630	25	419	19	117	14	91	12	428	24	3	24	31	6	86	7	pole	spea	off	30	Jab	14	75	8	20	6	Might	1	10	0	15	4																									2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	75	198	merca201	merca221	30000	125	1430	40	1027	28	173	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	off	30	Jab	14	100	10	45	8	Might	1	10	0	35	8																									2	2	2	0
